Model,Fold,ROC-AUC,G-mean,F1-Score,Accuracy,Precision,Recall,Logloss,Description
LGBMClassifier,CTNNB1,0.599173355453089,0.0,0.0,0.9992442526633999,0.0,0.0,0.028031150065075953,default
LGBMClassifier,Erk,0.6238352756776255,0.0,0.0,0.9981098557521495,0.0,0.0,0.03309790666807443,default
LGBMClassifier,Ikk2,0.5225833488625741,0.025681061439292253,0.0013131976362442547,0.9581314688394627,0.14285714285714285,0.0006596306068601583,0.29963315798037077,default
LGBMClassifier,IRF4,0.5467954485844907,0.0,0.0,0.9992964595360772,0.0,0.0,0.039057385393760004,default
LGBMClassifier,Jnk,0.5570145002831894,0.04435445800378484,0.0038324664659184237,0.9658473407100825,0.07142857142857142,0.001969057665260197,0.2099580065619911,default
LGBMClassifier,LEF1,0.6388718278787165,0.0,0.0,0.9979139121492581,0.0,0.0,0.0479294317297888,default
LGBMClassifier,MYC,0.6011801131730811,0.01336361811264438,0.00035618878005342833,0.9122996156370113,0.058823529411764705,0.0001786352268667381,0.47388204139092965,default
LGBMClassifier,CTNNB1,0.5683917229825889,0.5352755931665916,0.0019462068428632595,0.6874497184231697,0.0009753813741172799,0.4166666666666667,0.49595729493104923,is_unbalance
LGBMClassifier,Erk,0.6260023454397894,0.5753615938256276,0.0062256809338521405,0.7277765934768706,0.003134304967873374,0.45454545454545453,0.48092744896418926,is_unbalance
LGBMClassifier,Ikk2,0.5866346044269519,0.1329754337010115,0.03012832434442998,0.9521489392938413,0.097708082026538,0.017810026385224276,0.19232328553487546,is_unbalance
LGBMClassifier,IRF4,0.5359770835451044,0.5084045983725096,0.0014109774042047128,0.4874397334823184,0.0007064284993440307,0.5303030303030303,0.7097209072861435,is_unbalance
LGBMClassifier,Jnk,0.6196484287156236,0.27524738990376985,0.06792134153697672,0.9274901221011534,0.05946345585128855,0.07918424753867792,0.2243227326438699,is_unbalance
LGBMClassifier,LEF1,0.631975499943353,0.5956167273280263,0.005548216644649934,0.5576318495666226,0.0027862544779089825,0.6363636363636364,0.7269991729027663,is_unbalance
LGBMClassifier,MYC,0.6696030329107481,0.023149636727175966,0.0010712372790573112,0.9125808568482235,1.0,0.0005359056806002144,0.2866909818322454,is_unbalance
XGBClassifier,CTNNB1,0.5415790415314679,0.0,0.0,0.9992686316097418,0.0,0.0,0.025109399696179823,default
XGBClassifier,Erk,0.5899607459197502,0.0,0.0,0.9981240673630356,0.0,0.0,0.034246574739173884,default
XGBClassifier,Ikk2,0.5440961496392921,0.0,0.0,0.9582691037216472,0.0,0.0,0.25400620361750287,default
XGBClassifier,IRF4,0.5122274270848628,0.0,0.0,0.9993171519026631,0.0,0.0,0.03501956237062706,default
XGBClassifier,Jnk,0.5693642769926641,0.0,0.0,0.9666356955823971,0.0,0.0,0.17597983254847815,default
XGBClassifier,LEF1,0.5807660415869371,0.0,0.0,0.9980608197443808,0.0,0.0,0.05546758554216934,default
XGBClassifier,MYC,0.5803787759891255,0.0,0.0,0.9125339833130215,0.0,0.0,0.419978228847213,default
XGBClassifier,CTNNB1,0.6229346084721917,0.0,0.0,0.9992686316097418,0.0,0.0,0.03389908133417243,custom
XGBClassifier,Erk,0.6579088183315362,0.0,0.0,0.9980459035031621,0.0,0.0,0.039443323251279125,custom
XGBClassifier,Ikk2,0.6055351083710254,0.0,0.0,0.9582691037216472,0.0,0.0,0.26576806997268504,custom
XGBClassifier,IRF4,0.5274230219953291,0.0,0.0,0.9993171519026631,0.0,0.0,0.05190613043146985,custom
XGBClassifier,Jnk,0.624316136237645,0.0,0.0,0.9666356955823971,0.0,0.0,0.17249932203412408,custom
XGBClassifier,LEF1,0.6850180133044657,0.0,0.0,0.9976935507565741,0.0,0.0,0.06492045905493515,custom
XGBClassifier,MYC,0.6424944413992896,0.0,0.0,0.9125339833130215,0.0,0.0,0.4023057900644953,custom
